raceId,driverId,position,champ_pos,year
18,1,1,1,2008
18,2,2,2,2008
18,3,3,3,2008
18,4,4,4,2008
18,5,5,5,2008
18,6,6,6,2008
18,7,7,7,2008
18,8,8,8,2008
18,9,\N,0,2008
18,10,\N,0,2008
18,11,\N,0,2008
18,12,\N,0,2008
18,13,\N,0,2008
18,14,\N,0,2008
18,15,\N,0,2008
18,16,\N,0,2008
18,17,\N,0,2008
18,18,\N,0,2008
18,19,\N,0,2008
18,20,\N,0,2008
18,21,\N,0,2008
18,22,\N,0,2008
19,8,1,2,2008
19,9,2,5,2008
19,5,3,4,2008
19,15,4,8,2008
19,1,5,1,2008
19,2,6,3,2008
19,17,7,11,2008
19,4,8,7,2008
19,14,9,12,2008
19,18,10,13,2008
19,12,11,14,2008
19,21,12,15,2008
19,22,13,16,2008
19,3,14,6,2008
19,19,15,17,2008
19,11,16,18,2008
19,6,17,9,2008
19,20,\N,0,2008
19,13,\N,0,2008
19,16,\N,0,2008
19,10,\N,0,2008
19,7,\N,10,2008
20,13,1,6,2008
20,8,2,1,2008
20,9,3,4,2008
20,2,4,2,2008
20,5,5,5,2008
20,15,6,7,2008
20,17,7,10,2008
20,3,8,8,2008
20,10,9,14,2008
20,4,10,9,2008
20,22,11,16,2008
20,21,12,18,2008
20,1,13,3,2008
20,6,14,11,2008
20,7,15,12,2008
20,19,16,19,2008
20,11,17,20,2008
20,14,18,13,2008
20,16,19,21,2008
20,12,\N,17,2008
20,18,\N,15,2008
20,20,\N,0,2008
21,8,1,1,2008
21,13,2,4,2008
21,1,3,2,2008
21,9,4,3,2008
21,17,5,8,2008
21,18,6,12,2008
21,6,7,11,2008
21,15,8,7,2008
21,2,9,5,2008
21,21,10,16,2008
21,10,11,14,2008
21,14,12,15,2008
21,11,13,19,2008
21,3,\N,9,2008
21,4,\N,10,2008
21,22,\N,17,2008
21,5,\N,6,2008
21,19,\N,20,2008
21,7,\N,13,2008
21,12,\N,18,2008
21,16,\N,21,2008
21,20,\N,0,2008
22,13,1,2,2008
22,1,2,3,2008
22,8,3,1,2008
22,9,4,4,2008
22,2,5,5,2008
22,4,6,8,2008
22,17,7,7,2008
22,3,8,10,2008
22,14,9,14,2008
22,15,10,9,2008
22,18,11,12,2008
22,5,12,6,2008
22,10,13,15,2008
22,22,14,17,2008
22,12,15,18,2008
22,16,16,21,2008
22,20,17,22,2008
22,7,\N,13,2008
22,6,\N,11,2008
22,21,\N,16,2008
23,1,1,1,2008
23,9,2,4,2008
23,13,3,3,2008
23,17,4,7,2008
23,20,5,12,2008
23,22,6,14,2008
23,6,7,11,2008
23,5,8,6,2008
23,8,9,2,2008
23,4,10,8,2008
23,18,11,13,2008
23,10,12,17,2008
23,15,13,9,2008
23,2,14,5,2008
23,16,\N,22,2008
23,3,\N,10,2008
23,12,\N,19,2008
23,21,\N,18,2008
23,14,\N,16,2008
23,7,\N,15,2008
24,9,1,1,2008
24,2,2,5,2008
24,14,3,12,2008
24,10,4,13,2008
24,13,5,3,2008
24,15,6,8,2008
24,22,7,15,2008
24,20,8,14,2008
24,5,9,6,2008
24,3,10,10,2008
24,18,11,16,2008
24,17,12,7,2008
24,7,13,17,2008
24,21,\N,18,2008
24,6,\N,11,2008
24,4,\N,9,2008
24,12,\N,19,2008
24,8,\N,4,2008
24,1,\N,2,2008
24,16,\N,22,2008
25,13,1,1,2008
25,8,2,3,2008
25,15,3,7,2008
25,5,4,6,2008
25,9,5,2,2008
25,17,6,8,2008
25,12,7,17,2008
25,4,8,9,2008
25,14,9,12,2008
25,1,10,4,2008
25,10,11,13,2008
25,20,12,14,2008
25,2,13,5,2008
25,22,14,15,2008
25,6,15,11,2008
25,3,16,10,2008
25,7,17,18,2008
25,21,18,19,2008
25,16,19,22,2008
25,18,\N,16,2008
26,1,1,1,2008
26,2,2,5,2008
26,22,3,10,2008
26,8,4,3,2008
26,5,5,6,2008
26,4,6,9,2008
26,15,7,7,2008
26,6,8,12,2008
26,3,9,11,2008
26,17,10,8,2008
26,7,11,17,2008
26,10,12,14,2008
26,13,13,2,2008
26,9,\N,4,2008
26,18,\N,16,2008
26,12,\N,18,2008
26,21,\N,19,2008
26,16,\N,22,2008
26,20,\N,15,2008
26,14,\N,13,2008
27,1,1,1,2008
27,12,2,11,2008
27,13,3,2,2008
27,2,4,5,2008
27,5,5,6,2008
27,8,6,3,2008
27,9,7,4,2008
27,20,8,15,2008
27,15,9,7,2008
27,3,10,12,2008
27,4,11,9,2008
27,7,12,18,2008
27,14,13,14,2008
27,6,14,13,2008
27,16,15,21,2008
27,21,16,19,2008
27,18,17,17,2008
27,22,\N,10,2008
27,17,\N,8,2008
27,10,\N,16,2008
28,5,1,6,2008
28,10,2,10,2008
28,8,3,2,2008
28,4,4,8,2008
28,1,5,1,2008
28,12,6,11,2008
28,15,7,7,2008
28,9,8,4,2008
28,17,9,9,2008
28,2,10,5,2008
28,14,11,15,2008
28,18,12,17,2008
28,6,13,14,2008
28,3,14,13,2008
28,21,15,19,2008
28,22,16,12,2008
28,13,17,3,2008
28,7,18,18,2008
28,16,\N,21,2008
28,20,\N,16,2008
29,13,1,2,2008
29,1,2,1,2008
29,9,3,4,2008
29,5,4,5,2008
29,15,5,7,2008
29,20,6,14,2008
29,10,7,10,2008
29,3,8,13,2008
29,2,9,6,2008
29,7,10,18,2008
29,12,11,11,2008
29,17,12,9,2008
29,18,13,17,2008
29,21,14,19,2008
29,6,15,15,2008
29,22,16,12,2008
29,14,17,16,2008
29,8,\N,3,2008
29,16,\N,21,2008
29,4,\N,8,2008
30,13,1,2,2008
30,2,2,5,2008
30,1,3,1,2008
30,4,4,8,2008
30,20,5,12,2008
30,9,6,3,2008
30,7,7,17,2008
30,17,8,9,2008
30,10,9,10,2008
30,5,10,6,2008
30,14,11,16,2008
30,3,12,14,2008
30,16,13,20,2008
30,6,14,15,2008
30,18,15,18,2008
30,15,16,7,2008
30,21,17,19,2008
30,8,18,4,2008
30,22,\N,13,2008
30,12,\N,11,2008
31,20,1,9,2008
31,5,2,6,2008
31,9,3,3,2008
31,4,4,7,2008
31,2,5,5,2008
31,13,6,2,2008
31,1,7,1,2008
31,17,8,10,2008
31,8,9,4,2008
31,12,10,12,2008
31,10,11,11,2008
31,6,12,15,2008
31,15,13,8,2008
31,3,14,14,2008
31,18,15,18,2008
31,14,16,16,2008
31,22,17,13,2008
31,7,18,17,2008
31,16,19,20,2008
31,21,\N,19,2008
32,4,1,7,2008
32,3,2,12,2008
32,1,3,1,2008
32,10,4,10,2008
32,20,5,8,2008
32,2,6,5,2008
32,14,7,16,2008
32,6,8,15,2008
32,18,9,18,2008
32,5,10,6,2008
32,9,11,3,2008
32,7,12,17,2008
32,13,13,2,2008
