suck,race_id,season,round,circuitId,dnf,Finished,Disqualified,Accident,Collision,Engine,Gearbox,Transmission,Clutch,Hydraulics,Electrical,Spunoff,Radiator,Suspension,Brakes,Differential,Overheating,Mechanical,Tyre,DriverSeat,Puncture,Driveshaft,Lap1,Laps2,Laps3,Laps4,Laps5,Laps6,Laps7,Laps8,Laps9
39,39,2010,5,catalunya,5,8,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,1,2,1,0,0,0,0,0
40,40,2010,6,monaco,9,12,0,0,2,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,2010,7,istanbul,4,12,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0
42,42,2010,8,villeneuve,5,7,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,8,2,0,1,1,0,0,0,0
43,43,2010,9,valencia,3,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0
44,44,2010,10,silverstone,4,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0
45,45,2010,11,hockenheimring,5,6,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0
46,46,2010,12,hungaroring,5,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,0,0,0,0,0
47,47,2010,13,spa,4,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0
48,48,2010,14,monza,4,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0
49,49,2010,15,marina_bay,8,10,0,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
50,50,2010,16,suzuka,8,10,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0
51,51,2010,17,yeongam,9,12,0,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
52,52,2010,18,interlagos,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,0,1
53,53,2010,19,yas_marina,3,16,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
54,54,2011,1,albert_park,10,7,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1
55,55,2011,2,sepang,7,10,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
56,56,2011,3,shanghai,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0
57,57,2011,4,istanbul,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,1,0,0,0,0
58,58,2011,5,catalunya,3,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,1,0,0,0,0
59,59,2011,6,monaco,6,6,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0
60,60,2011,7,villeneuve,6,12,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
61,61,2011,8,valencia,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,2,0,0,0,0,0,0
62,62,2011,9,silverstone,5,12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0
63,63,2011,10,nurburgring,4,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1,3,1,0,0,0,0,0
64,64,2011,11,hungaroring,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,2,0,0,0,0
65,65,2011,12,spa,5,13,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
66,66,2011,13,monza,9,6,0,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
67,67,2011,14,marina_bay,3,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0,0,0,0
68,68,2011,15,suzuka,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
69,69,2011,16,yeongam,3,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0
70,70,2011,17,buddh,5,7,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0,0
