year,driver,gp,tires,from,to,laps
2012,Daniel Ricciardo,Malaysia,Intermediate New,26,37,12
2012,Daniel Ricciardo,Malaysia,Medium Used,38,56,19
2012,Nico Rosberg,Malaysia,Intermediate New,1,5,5
2012,Nico Rosberg,Malaysia,Wet New,6,13,8
2012,Nico Rosberg,Malaysia,Intermediate New,14,26,13
2012,Nico Rosberg,Malaysia,Intermediate New,27,39,13
2012,Nico Rosberg,Malaysia,Hard New,40,56,17
2012,Jenson Button,Malaysia,Intermediate New,1,4,4
2012,Jenson Button,Malaysia,Wet New,5,13,9
2012,Jenson Button,Malaysia,Intermediate New,14,24,11
2012,Jenson Button,Malaysia,Intermediate New,25,39,15
2012,Jenson Button,Malaysia,Medium Used,40,56,17
2012,Felipe Massa,Malaysia,Intermediate New,1,3,3
2012,Felipe Massa,Malaysia,Wet New,4,14,11
2012,Felipe Massa,Malaysia,Intermediate New,15,27,13
2012,Felipe Massa,Malaysia,Intermediate New,28,37,10
2012,Felipe Massa,Malaysia,Medium Used,38,56,19
2012,Vitaly Petrov,Malaysia,Intermediate New,1,4,4
2012,Vitaly Petrov,Malaysia,Wet New,5,13,9
2012,Vitaly Petrov,Malaysia,Intermediate New,14,39,26
2012,Vitaly Petrov,Malaysia,Medium Used,40,55,16
2012,Timo Glock,Malaysia,Intermediate New,1,3,3
2012,Timo Glock,Malaysia,Wet New,4,13,10
2012,Timo Glock,Malaysia,Intermediate New,14,39,26
2012,Timo Glock,Malaysia,Medium Used,40,55,16
2012,Heikki Kovalainen,Malaysia,Intermediate New,1,4,4
2012,Heikki Kovalainen,Malaysia,Wet New,5,14,10
2012,Heikki Kovalainen,Malaysia,Intermediate New,15,23,9
2012,Heikki Kovalainen,Malaysia,Intermediate New,24,38,15
2012,Heikki Kovalainen,Malaysia,Medium Used,39,55,17
2012,Pastor Maldonado,Malaysia,Intermediate New,1,5,5
2012,Pastor Maldonado,Malaysia,Wet New,6,14,9
2012,Pastor Maldonado,Malaysia,Wet Used,15,15,1
2012,Pastor Maldonado,Malaysia,Intermediate New,16,39,24
2012,Pastor Maldonado,Malaysia,Medium Used,40,54,15
2012,Charles Pic,Malaysia,Intermediate New,1,3,3
2012,Charles Pic,Malaysia,Wet New,4,15,12
2012,Charles Pic,Malaysia,Intermediate New,16,39,24
2012,Charles Pic,Malaysia,Medium Used,40,54,15
2012,Pedro de la Rosa,Malaysia,Wet New,1,13,13
2012,Pedro de la Rosa,Malaysia,Intermediate Used,14,39,26
2012,Pedro de la Rosa,Malaysia,Hard New,40,54,15
2012,Narain Karthikeyan,Malaysia,Wet New,1,15,15
2012,Narain Karthikeyan,Malaysia,Intermediate Used,16,37,22
2012,Narain Karthikeyan,Malaysia,Hard New,38,54,17
2012,Kamui Kobayashi,Malaysia,Intermediate New,1,5,5
2012,Kamui Kobayashi,Malaysia,Wet Used,6,13,8
2012,Kamui Kobayashi,Malaysia,Intermediate New,14,40,27
2012,Kamui Kobayashi,Malaysia,Medium Used,41,46,6
2012,Romain Grosjean,Malaysia,Intermediate New,1,1,1
2012,Nico Rosberg,China,Soft Used,1,13,13
2012,Nico Rosberg,China,Medium New,14,34,21
2012,Nico Rosberg,China,Medium New,35,56,22
2012,Jenson Button,China,Soft Used,1,11,11
2012,Jenson Button,China,Soft Used,12,24,13
2012,Jenson Button,China,Medium New,25,39,15
2012,Jenson Button,China,Medium New,40,56,17
2012,Lewis Hamilton,China,Soft Used,1,10,10
2012,Lewis Hamilton,China,Soft Used,11,22,12
2012,Lewis Hamilton,China,Medium New,23,38,16
2012,Lewis Hamilton,China,Medium New,39,56,18
2012,Mark Webber,China,Soft Used,1,6,6
2012,Mark Webber,China,Medium New,7,21,15
2012,Mark Webber,China,Medium Used,22,34,13
2012,Mark Webber,China,Medium New,35,56,22
2012,Sebastian Vettel,China,Soft New,1,9,9
2012,Sebastian Vettel,China,Medium New,10,31,22
2012,Sebastian Vettel,China,Medium New,32,56,25
2012,Romain Grosjean,China,Soft Used,1,11,11
2012,Romain Grosjean,China,Medium New,12,32,21
2012,Romain Grosjean,China,Medium Used,33,56,24
2012,Bruno Senna,China,Medium New,1,12,12
2012,Bruno Senna,China,Soft New,13,29,17
2012,Bruno Senna,China,Medium New,30,56,27
2012,Pastor Maldonado,China,Soft New,1,11,11
2012,Pastor Maldonado,China,Medium New,12,33,22
2012,Pastor Maldonado,China,Medium New,34,56,23
2012,Fernando Alonso,China,Soft Used,1,12,12
2012,Fernando Alonso,China,Medium Used,13,27,15
2012,Fernando Alonso,China,Soft Used,28,56,29
2012,Kamui Kobayashi,China,Soft Used,1,9,9
2012,Kamui Kobayashi,China,Medium New,10,25,16
2012,Kamui Kobayashi,China,Soft Used,26,56,31
2012,Sergio Perez,China,Soft Used,1,16,16
2012,Sergio Perez,China,Medium New,17,35,19
2012,Sergio Perez,China,Medium New,36,56,21
2012,Paul di Resta,China,Soft New,1,11,11
2012,Paul di Resta,China,Medium New,12,32,21
2012,Paul di Resta,China,Medium New,33,56,24
2012,Felipe Massa,China,Medium New,1,18,18
2012,Felipe Massa,China,Medium New,19,41,23
2012,Felipe Massa,China,Soft New,42,56,15
2012,Kimi Räikkönen,China,Soft Used,1,10,10
2012,Kimi Räikkönen,China,Medium New,11,28,18
2012,Kimi Räikkönen,China,Medium Used,29,56,28
2012,Nico Hulkenberg,China,Soft Used,1,9,9
2012,Nico Hulkenberg,China,Medium New,10,30,21
2012,Nico Hulkenberg,China,Medium New,31,56,26
2012,Jean-Eric Vergne,China,Medium New,1,11,11
2012,Jean-Eric Vergne,China,Medium New,12,28,17
2012,Jean-Eric Vergne,China,Soft New,29,41,13
2012,Jean-Eric Vergne,China,Soft New,42,56,15
2012,Daniel Ricciardo,China,Medium New,1,17,17
2012,Daniel Ricciardo,China,Soft Used,18,33,16
2012,Daniel Ricciardo,China,Medium New,34,56,23
2012,Vitaly Petrov,China,Soft New,1,10,10
2012,Vitaly Petrov,China,Medium New,11,29,19
2012,Vitaly Petrov,China,Medium New,30,55,26
2012,Timo Glock,China,Soft New,1,18,18
2012,Timo Glock,China,Medium New,19,36,18
2012,Timo Glock,China,Medium New,37,55,19
2012,Charles Pic,China,Soft New,1,19,19
2012,Charles Pic,China,Medium New,20,37,18
2012,Charles Pic,China,Medium New,38,48,11
2012,Charles Pic,China,Medium Used,49,55,7
2012,Pedro de la Rosa,China,Soft New,1,17,17
2012,Pedro de la Rosa,China,Soft Used,18,31,14
2012,Pedro de la Rosa,China,Medium New,32,55,24
2012,Heikki Kovalainen,China,Soft New,1,12,12
2012,Heikki Kovalainen,China,Medium New,13,28,16
2012,Heikki Kovalainen,China,Medium Used,31,47,17
2012,Heikki Kovalainen,China,Soft Used,48,53,6
2012,Heikki Kovalainen,China,Medium Used,29,30,2
2012,Michael Schumacher,China,Soft Used,1,11,11
2012,Michael Schumacher,China,Medium New,12,12,1
2012,Narain Karthikeyan,China,Soft New,1,16,16
2012,Narain Karthikeyan,China,Soft Used,17,32,16
2012,Narain Karthikeyan,China,Medium New,33,54,22
2012,Sebastian Vettel,Bahrain,Soft Used,1,11,11
2012,Sebastian Vettel,Bahrain,Medium Used,12,25,14
2012,Sebastian Vettel,Bahrain,Soft Used,26,39,14
2012,Sebastian Vettel,Bahrain,Medium New,40,57,18
2012,Kimi Räikkönen,Bahrain,Soft New,1,11,11
2012,Kimi Räikkönen,Bahrain,Soft New,12,24,13
2012,Kimi Räikkönen,Bahrain,Medium New,25,39,15
2012,Kimi Räikkönen,Bahrain,Medium New,40,57,18
2012,Romain Grosjean,Bahrain,Soft Used,1,10,10
2012,Romain Grosjean,Bahrain,Medium Used,11,25,15
2012,Romain Grosjean,Bahrain,Medium New,26,40,15
2012,Romain Grosjean,Bahrain,Medium New,41,57,17
2012,Mark Webber,Bahrain,Soft Used,1,9,9
2012,Mark Webber,Bahrain,Medium Used,10,23,14
2012,Mark Webber,Bahrain,Soft Used,24,39,16
2012,Mark Webber,Bahrain,Medium New,40,57,18
2012,Nico Rosberg,Bahrain,Soft Used,1,8,8
2012,Nico Rosberg,Bahrain,Soft New,9,22,14
2012,Nico Rosberg,Bahrain,Medium New,23,36,14
2012,Nico Rosberg,Bahrain,Medium New,37,57,21
2012,Paul di Resta,Bahrain,Soft New,1,14,14
2012,Paul di Resta,Bahrain,Medium New,15,33,19
2012,Paul di Resta,Bahrain,Medium New,34,57,24
2012,Fernando Alonso,Bahrain,Soft Used,1,9,9
2012,Fernando Alonso,Bahrain,Medium New,10,23,14
2012,Fernando Alonso,Bahrain,Medium New,24,37,14
2012,Fernando Alonso,Bahrain,Medium New,38,57,20
2012,Lewis Hamilton,Bahrain,Soft Used,1,9,9
2012,Lewis Hamilton,Bahrain,Medium New,10,23,14
2012,Lewis Hamilton,Bahrain,Medium Used,24,36,13
2012,Lewis Hamilton,Bahrain,Medium New,37,57,21
2012,Felipe Massa,Bahrain,Soft Used,1,8,8
2012,Felipe Massa,Bahrain,Medium New,9,22,14
2012,Felipe Massa,Bahrain,Soft New,23,38,16
2012,Felipe Massa,Bahrain,Medium New,39,57,19
2012,Michael Schumacher,Bahrain,Soft New,1,9,9
2012,Michael Schumacher,Bahrain,Soft New,10,23,14
2012,Michael Schumacher,Bahrain,Medium New,24,37,14
2012,Michael Schumacher,Bahrain,Medium New,38,57,20
2012,Sergio Perez,Bahrain,Soft Used,1,9,9
2012,Sergio Perez,Bahrain,Soft Used,10,21,12
2012,Sergio Perez,Bahrain,Medium New,22,37,16
2012,Sergio Perez,Bahrain,Medium New,38,57,20
2012,Nico Hulkenberg,Bahrain,Soft New,1,9,9
2012,Nico Hulkenberg,Bahrain,Soft Used,10,19,10
2012,Nico Hulkenberg,Bahrain,Medium New,20,36,17
2012,Nico Hulkenberg,Bahrain,Medium New,37,57,21
2012,Kamui Kobayashi,Bahrain,Medium New,1,14,14
2012,Kamui Kobayashi,Bahrain,Medium New,15,31,17
2012,Kamui Kobayashi,Bahrain,Soft Used,32,50,19
2012,Kamui Kobayashi,Bahrain,Soft Used,51,57,7
2012,Jean-Eric Vergne,Bahrain,Soft New,1,10,10
2012,Jean-Eric Vergne,Bahrain,Medium New,11,25,15
2012,Jean-Eric Vergne,Bahrain,Medium New,26,40,15
2012,Jean-Eric Vergne,Bahrain,Soft New,41,57,17
2012,Daniel Ricciardo,Bahrain,Soft Used,1,7,7
2012,Daniel Ricciardo,Bahrain,Medium New,8,23,16
2012,Daniel Ricciardo,Bahrain,Soft Used,24,38,15
2012,Daniel Ricciardo,Bahrain,Medium New,39,56,18
2012,Vitaly Petrov,Bahrain,Soft New,1,10,10
2012,Vitaly Petrov,Bahrain,Soft New,11,23,13
2012,Vitaly Petrov,Bahrain,Medium New,24,39,16
2012,Vitaly Petrov,Bahrain,Medium New,40,56,17
2012,Heikki Kovalainen,Bahrain,Soft New,1,1,1
2012,Heikki Kovalainen,Bahrain,Soft New,2,13,12
2012,Heikki Kovalainen,Bahrain,Soft Used,14,25,12
2012,Heikki Kovalainen,Bahrain,Medium New,26,38,13
2012,Heikki Kovalainen,Bahrain,Medium New,39,56,18
2012,Jenson Button,Bahrain,Soft Used,1,8,8
2012,Jenson Button,Bahrain,Medium New,9,22,14
2012,Jenson Button,Bahrain,Medium Used,23,37,15
2012,Jenson Button,Bahrain,Medium New,38,53,16
2012,Jenson Button,Bahrain,Soft Used,54,55,2
2012,Timo Glock,Bahrain,Soft New,1,10,10
2012,Timo Glock,Bahrain,Medium New,11,23,13
2012,Timo Glock,Bahrain,Medium New,24,38,15
2012,Timo Glock,Bahrain,Soft New,39,55,17
2012,Pedro de la Rosa,Bahrain,Soft New,1,9,9
2012,Pedro de la Rosa,Bahrain,Medium New,10,22,13
2012,Pedro de la Rosa,Bahrain,Medium New,23,38,16
2012,Pedro de la Rosa,Bahrain,Medium New,39,55,17
2012,Narain Karthikeyan,Bahrain,Soft New,1,10,10
2012,Narain Karthikeyan,Bahrain,Medium New,11,21,11
2012,Narain Karthikeyan,Bahrain,Medium New,22,32,11
2012,Narain Karthikeyan,Bahrain,Medium New,33,45,13
2012,Narain Karthikeyan,Bahrain,Soft Used,46,55,10
2012,Bruno Senna,Bahrain,Soft Used,1,9,9
2012,Bruno Senna,Bahrain,Soft Used,10,24,15
2012,Bruno Senna,Bahrain,Medium New,25,38,14
2012,Bruno Senna,Bahrain,Medium New,39,54,16
2012,Pastor Maldonado,Bahrain,Soft New,1,11,11
2012,Pastor Maldonado,Bahrain,Soft New,12,23,12
2012,Pastor Maldonado,Bahrain,Medium New,24,25,2
2012,Charles Pic,Bahrain,Soft New,1,12,12
2012,Charles Pic,Bahrain,Soft New,13,24,12
2012,Pastor Maldonado,Spain,Soft Used,1,11,11
2012,Pastor Maldonado,Spain,Hard New,12,24,13
2012,Pastor Maldonado,Spain,Hard New,25,41,17
2012,Pastor Maldonado,Spain,Hard New,42,66,25
2012,Fernando Alonso,Spain,Soft Used,1,10,10
2012,Fernando Alonso,Spain,Hard Used,11,26,16
2012,Fernando Alonso,Spain,Hard Used,27,44,18
2012,Fernando Alonso,Spain,Hard Used,45,66,22
2012,Kimi Räikkönen,Spain,Soft Used,1,11,11
2012,Kimi Räikkönen,Spain,Soft Used,12,27,16
2012,Kimi Räikkönen,Spain,Hard New,28,48,21
2012,Romain Grosjean,Spain,Soft Used,1,10,10
