Race,Cause,Deployed,Retreated,FullLaps,raceId,year,race_name,rating
2023 Saudi Arabian Grand Prix,Stranded car,18,21.0,2,1099,2023,Saudi Arabian Grand Prix,
2023 Australian Grand Prix,Stranded car,1,4,3,1100,2023,Australian Grand Prix,
2023 Australian Grand Prix,Stranded car,7,10,3,1100,2023,Australian Grand Prix,
2023 Australian Grand Prix,Debris from accident,55,57,3,1100,2023,Australian Grand Prix,
2023 Azerbaijan Grand Prix,Stranded car,10,14,3,1101,2023,Azerbaijan Grand Prix,
2023 Canadian Grand Prix,Debris from accident,12,17,4,1106,2023,Canadian Grand Prix,
2023 Austrian Grand Prix,Debris from accident,1,4,3,1107,2023,Austrian Grand Prix,
2023 British Grand Prix,Stranded car,32,39,6,1108,2023,British Grand Prix,
2023 Dutch Grand Prix,Stranded car,16,22,5,1111,2023,Dutch Grand Prix,
2023 Dutch Grand Prix,Rain,64,67,2,1111,2023,Dutch Grand Prix,
2023 Singapore Grand Prix,Debris from accident,20,23,2,1113,2023,Singapore Grand Prix,
2023 Japanese Grand Prix,Debris from accident,1,5,4,1114,2023,Japanese Grand Prix,
2023 Qatar Grand Prix,Stranded car,1,5,4,1115,2023,Qatar Grand Prix,
2023 Mexico City Grand Prix,Accident,34,36,2,1117,2023,Mexico City Grand Prix,
2023 São Paulo Grand Prix,Debris from accident,1,5,4,1118,2023,São Paulo Grand Prix,
2023 Las Vegas Grand Prix,Stranded car,4,7,3,1119,2023,Las Vegas Grand Prix,
2023 Las Vegas Grand Prix,Debris from accident,26,29,3,1119,2023,Las Vegas Grand Prix,
