raceId,stop
841,45
842,59
843,58
844,82
845,77
846,43
847,75
848,65
849,54
850,50
851,88
852,52
853,35
854,69
855,65
856,50
857,47
858,42
859,58
860,41
861,76
862,55
863,71
864,67
865,26
866,37
867,49
868,43
869,60
870,58
871,38
872,31
873,56
874,46
875,41
876,28
877,30
878,24
879,69
880,53
881,73
882,57
883,71
884,79
885,30
886,44
887,55
888,56
890,56
891,43
892,24
893,54
894,49
895,48
896,44
897,41
898,27
899,47
900,34
901,55
902,57
903,45
904,48
905,27
906,33
907,41
908,24
909,55
910,44
911,46
912,23
913,54
914,79
915,23
916,36
917,52
918,41
926,17
927,50
928,38
929,43
930,46
931,31
932,23
933,21
934,33
936,96
937,38
938,23
939,42
940,45
941,19
942,47
943,38
944,49
945,42
948,45
949,53
950,66
951,26
952,47
953,45
954,36
955,33
956,76
957,47
958,45
959,60
960,51
961,39
962,68
963,44
964,38
965,43
966,28
967,62
968,37
969,20
970,82
971,31
972,20
973,37
974,28
975,21
976,63
977,20
978,27
979,21
980,40
981,21
982,82
983,20
984,22
985,25
986,23
987,69
988,22
989,20
990,33
991,30
992,36
993,21
994,26
995,20
996,20
997,23
998,28
999,40
1000,20
1001,34
1002,21
1003,25
1004,20
1005,23
1006,24
1007,29
1008,25
1009,18
1010,22
1011,40
1012,37
1013,26
1014,37
1015,23
1016,22
1017,23
1018,23
1019,29
1020,78
1021,24
1022,24
1023,29
1024,29
1025,25
1026,31
1027,26
1028,33
1029,45
1030,25
1031,38
1032,21
1033,45
1034,22
1035,41
1036,35
1037,20
1038,37
1039,66
1040,24
1041,33
1042,25
1043,30
1044,38
1045,57
1046,39
1047,23
1051,30
1052,40
1053,56
1054,60
1055,37
1056,19
1057,59
1058,24
1059,22
1060,27
1061,41
1062,52
1064,29
1065,22
1066,39
1067,20
1069,41
1070,25
1071,79
1072,47
1073,29
1074,58
1075,19
1076,22
1077,25
1078,25
1079,53
1080,53
1081,27
1082,32
1083,47
1084,42
1085,25
1086,42
1087,38
1088,72
1089,28
1091,21
1092,42
1093,36
1094,23
1095,44
1096,31
1098,50
1099,24
1100,65
1101,23
1102,20
1104,37
1105,43
1106,33
1107,63
1108,24
1109,36
1110,37
